จังหวัด,สำนักงานที่ดิน,รหัสกลุ่มที่ดิน,ราคาซื้อขายในช่วง 0.6 - 0.9 ,หน่วยที่ดินที่,ราคาของหน่วย,ความลึกมาตรฐาน,ประเภท,ราคาประเมินใหม่ของแปลงเซลที่เลือก,AS_Ratio_New,เปอร์เซนต์ความแตกต่างจากราคาตลาด
พัทลุง,เมืองพัทลุง,1,34791,3,28000,40,ด้อยกว่า,25098,0.721393464,27.86%
พัทลุง,เมืองพัทลุง,1,31158,3,28000,40,ด้อยกว่า,23089,0.741029591,25.90%
พัทลุง,เมืองพัทลุง,1,30402,3,28000,40,ด้อยกว่า,20052,0.659561871,34.04%
พัทลุง,เมืองพัทลุง,1,34016,3,28000,40,ด้อยกว่า,21247,0.624617827,37.54%
พัทลุง,เมืองพัทลุง,1,30356,3,28000,40,ด้อยกว่า,22697,0.747694031,25.23%
พัทลุง,เมืองพัทลุง,1,34401,3,28000,40,ด้อยกว่า,22434,0.652132205,34.79%
พัทลุง,เมืองพัทลุง,1,33437,3,28000,40,ด้อยกว่า,20582,0.615545653,38.45%
พัทลุง,เมืองพัทลุง,1,41604,4,40000,40,ด้อยกว่า,30394,0.730554754,26.94%
พัทลุง,เมืองพัทลุง,1,44635,4,40000,40,ด้อยกว่า,36812,0.824733953,17.53%
พัทลุง,เมืองพัทลุง,1,43873,4,40000,40,ด้อยกว่า,37656,0.858295535,14.17%
พัทลุง,เมืองพัทลุง,1,40780,4,40000,40,ด้อยกว่า,30771,0.754561059,24.54%
พัทลุง,เมืองพัทลุง,1,43981,4,40000,40,ด้อยกว่า,30762,0.699438394,30.06%
พัทลุง,เมืองพัทลุง,1,43660,4,40000,40,ด้อยกว่า,35547,0.814177737,18.58%
พัทลุง,เมืองพัทลุง,1,41134,4,40000,40,ด้อยกว่า,32026,0.778577333,22.14%
พัทลุง,เมืองพัทลุง,1,44110,4,40000,40,ด้อยกว่า,31146,0.70609839,29.39%
พัทลุง,เมืองพัทลุง,1,44920,4,40000,40,ด้อยกว่า,29818,0.663802315,33.62%
พัทลุง,เมืองพัทลุง,1,42526,4,40000,40,ด้อยกว่า,34525,0.811856276,18.81%
พัทลุง,เมืองพัทลุง,1,52087,5,45000,40,ด้อยกว่า,41382,0.794478469,20.55%
พัทลุง,เมืองพัทลุง,1,53409,5,45000,40,ด้อยกว่า,39683,0.743002116,25.70%
พัทลุง,เมืองพัทลุง,1,54640,5,45000,40,ด้อยกว่า,38166,0.698499268,30.15%
พัทลุง,เมืองพัทลุง,1,51771,5,45000,40,ด้อยกว่า,38340,0.740569044,25.94%
พัทลุง,เมืองพัทลุง,1,54603,5,45000,40,ด้อยกว่า,36280,0.664432357,33.56%
พัทลุง,เมืองพัทลุง,1,54499,5,45000,40,ด้อยกว่า,31668,0.581074882,41.89%
พัทลุง,เมืองพัทลุง,1,54729,5,45000,40,ด้อยกว่า,37829,0.691205759,30.88%
พัทลุง,เมืองพัทลุง,1,50885,5,45000,40,ด้อยกว่า,32362,0.635983099,36.40%
พัทลุง,เมืองพัทลุง,1,54987,5,45000,40,ด้อยกว่า,44265,0.805008457,19.50%
พัทลุง,เมืองพัทลุง,1,53246,5,45000,40,ด้อยกว่า,38550,0.723998047,27.60%
พัทลุง,เมืองพัทลุง,1,52631,5,45000,40,ด้อยกว่า,41460,0.787748665,21.23%
พัทลุง,เมืองพัทลุง,2,8003,6,6000,60,ดีกว่า,4740,0.592277896,40.77%
พัทลุง,เมืองพัทลุง,2,8385,6,6000,60,ดีกว่า,4560,0.543828265,45.62%
พัทลุง,เมืองพัทลุง,2,8104,6,6000,60,ดีกว่า,4620,0.570088845,42.99%
พัทลุง,เมืองพัทลุง,2,8150,6,6000,60,ดีกว่า,4740,0.581595092,41.84%
พัทลุง,เมืองพัทลุง,2,8296,6,6000,60,ดีกว่า,5040,0.607521697,39.25%
พัทลุง,เมืองพัทลุง,2,8308,6,6000,60,ดีกว่า,4860,0.584978334,41.50%
พัทลุง,เมืองพัทลุง,2,8135,6,6000,60,ดีกว่า,5460,0.67117394,32.88%
พัทลุง,เมืองพัทลุง,2,8246,6,6000,60,ดีกว่า,4560,0.552995392,44.70%
พัทลุง,เมืองพัทลุง,2,8355,6,6000,60,ดีกว่า,5040,0.603231598,39.68%
พัทลุง,เมืองพัทลุง,2,8187,6,6000,60,ดีกว่า,4260,0.52033712,47.97%
พัทลุง,เมืองพัทลุง,2,9075,7,7000,60,ดีกว่า,6510,0.717355372,28.26%
พัทลุง,เมืองพัทลุง,2,9068,7,7000,60,ดีกว่า,5950,0.656153507,34.38%
พัทลุง,เมืองพัทลุง,2,9466,7,7000,60,ดีกว่า,6580,0.695119375,30.49%
พัทลุง,เมืองพัทลุง,2,8280,7,7000,60,ดีกว่า,5740,0.693236715,30.68%
พัทลุง,เมืองพัทลุง,2,8979,7,7000,60,ดีกว่า,6230,0.693841185,30.62%
พัทลุง,เมืองพัทลุง,2,9423,7,7000,60,ดีกว่า,5180,0.549718773,45.03%
พัทลุง,เมืองพัทลุง,2,8987,7,7000,60,ดีกว่า,5880,0.654278402,34.57%
พัทลุง,เมืองพัทลุง,2,8706,7,7000,60,ดีกว่า,5250,0.603032391,39.70%
พัทลุง,เมืองพัทลุง,2,9477,7,7000,60,ดีกว่า,5040,0.531813865,46.82%
พัทลุง,เมืองพัทลุง,2,9778,7,7000,60,ดีกว่า,4900,0.501124974,49.89%
พัทลุง,เมืองพัทลุง,2,8311,8,8000,60,ราคาตลาด,6800,0.818192757,18.18%
พัทลุง,เมืองพัทลุง,2,9178,8,8000,60,ราคาตลาด,6960,0.758335149,24.17%
พัทลุง,เมืองพัทลุง,2,8376,8,8000,60,ราคาตลาด,7360,0.878701051,12.13%
พัทลุง,เมืองพัทลุง,2,10383,8,8000,60,ราคาตลาด,7600,0.731965713,26.80%
พัทลุง,เมืองพัทลุง,2,9960,8,8000,60,ราคาตลาด,6160,0.618473896,38.15%
พัทลุง,เมืองพัทลุง,2,9302,8,8000,60,ราคาตลาด,6000,0.645022576,35.50%
พัทลุง,เมืองพัทลุง,2,10255,8,8000,60,ราคาตลาด,7200,0.702096538,29.79%
พัทลุง,เมืองพัทลุง,2,8209,8,8000,60,ราคาตลาด,6240,0.760141308,23.99%
พัทลุง,เมืองพัทลุง,2,10040,8,8000,60,ราคาตลาด,6720,0.669322709,33.07%
พัทลุง,เมืองพัทลุง,2,8845,8,8000,60,ราคาตลาด,6800,0.76879593,23.12%
พัทลุง,เมืองพัทลุง,2,12188,9,9000,60,ด้อยกว่า,7830,0.642435182,35.76%
พัทลุง,เมืองพัทลุง,2,9815,9,9000,60,ด้อยกว่า,7920,0.806928171,19.31%
พัทลุง,เมืองพัทลุง,2,9065,9,9000,60,ด้อยกว่า,7740,0.853833425,14.62%
พัทลุง,เมืองพัทลุง,2,9985,9,9000,60,ด้อยกว่า,7470,0.748122183,25.19%
พัทลุง,เมืองพัทลุง,2,10469,9,9000,60,ด้อยกว่า,7380,0.70493839,29.51%
พัทลุง,เมืองพัทลุง,2,9137,9,9000,60,ด้อยกว่า,7740,0.847105177,15.29%
พัทลุง,เมืองพัทลุง,2,12320,9,9000,60,ด้อยกว่า,6480,0.525974026,47.40%
พัทลุง,เมืองพัทลุง,2,11221,9,9000,60,ด้อยกว่า,8370,0.745922823,25.41%
พัทลุง,เมืองพัทลุง,2,9377,9,9000,60,ด้อยกว่า,7020,0.74864029,25.14%
พัทลุง,เมืองพัทลุง,2,11418,9,9000,60,ด้อยกว่า,6390,0.559642669,44.04%
พัทลุง,เมืองพัทลุง,2,10683,10,10000,60,ด้อยกว่า,8800,0.82373865,17.63%
พัทลุง,เมืองพัทลุง,2,13243,10,10000,60,ด้อยกว่า,9400,0.709808956,29.02%
พัทลุง,เมืองพัทลุง,2,10661,10,10000,60,ด้อยกว่า,8900,0.834818497,16.52%
พัทลุง,เมืองพัทลุง,2,12846,10,10000,60,ด้อยกว่า,9300,0.723960766,27.60%
พัทลุง,เมืองพัทลุง,2,13513,10,10000,60,ด้อยกว่า,8000,0.592022497,40.80%
พัทลุง,เมืองพัทลุง,2,12720,10,10000,60,ด้อยกว่า,8000,0.628930818,37.11%
พัทลุง,เมืองพัทลุง,2,12640,10,10000,60,ด้อยกว่า,7600,0.601265823,39.87%
พัทลุง,เมืองพัทลุง,2,13084,10,10000,60,ด้อยกว่า,8800,0.672577194,32.74%
พัทลุง,เมืองพัทลุง,2,10102,10,10000,60,ด้อยกว่า,7200,0.712730152,28.73%
พัทลุง,เมืองพัทลุง,2,10631,10,10000,60,ด้อยกว่า,7900,0.743109773,25.69%
